target,f1,f2,f3,f4,f5,f6,f7,f8,f9
4.07,20.35,0,106.2,0,500,94.1,346500,10,35
3.78,18.9,0,87.3,0,500,105.8,396000,10,30
52.27,261.35,88.75,0,0.1,473.45,500,279000,5,25
6.95,34.75,0.55,73.45,0,499.95,213.85,220500,5,15
3.49,17.45,4.15,15.85,0,486.45,370.1,400500,5,25
55.48,277.4,153.7,0,0.15,437.35,500,243000,5,25
59.98,299.9,54.55,0,0.15,491.95,500,198000,5,20
88.02,440.1,214.2,0,0.2,449.6,500,288000,5,5
104.04,520.2,226.8,0,0.25,458.35,500,211500,5,20
8.42,42.1,5.75,79.2,0,495.4,234.7,220500,5,20
2.88,14.4,20.7,0,0,285.55,500,108000,10,30
57.49,287.45,164.9,0,0.15,433.7,500,9000,10,30
3.78,18.9,0,99,0,500,93.75,355500,5,15
2.7,13.5,4.3,30.25,0,476.4,203.75,400500,10,30
50.33,251.65,53.8,1.1,0.1,488.95,500,351000,5,25
3.28,16.4,22.85,0,0,291.55,500,76500,5,20
4.39,21.95,20.5,0,0,365.4,500,423000,10,35
3.96,19.8,31.3,0,0,267.3,500,27000,10,30
3.46,17.3,27.9,0,0,263.5,500,85500,10,30
3.06,15.3,21.6,0,0,289,500,67500,10,35
3.64,18.2,0,79.75,0,500,111.25,324000,10,35
37.15,185.75,144.55,0,0.1,394.6,500,148500,5,10
3.82,19.1,19.6,1.45,0,348.95,498.55,400500,10,30
71.42,357.1,218,0,0.15,426.75,500,247500,5,10
3.38,16.9,0,86.4,0,500,96,166500,10,35
2.99,14.95,0,58.15,0,500,124.5,360000,10,35
3.82,19.1,27.2,0,0,287.35,500,427500,10,30
3.53,17.65,0,25.75,0,500,282.7,333000,10,35
86.65,433.25,68.6,0.2,0.2,493.85,500,391500,5,10
3.17,15.85,31.85,0,0,222.75,500,54000,10,30
37.51,187.55,86.95,0,0.1,453.6,500,202500,5,25
3.82,19.1,0,129.4,0,500,73,310500,10,30
110.27,551.35,243.55,0,0.25,457.35,500,270000,5,20
2.92,14.6,21.95,0,0,276.9,500,72000,5,15
45.61,228.05,119,0,0.1,443.3,500,184500,10,30
2.81,14.05,26.1,0,0,237,500,90000,5,25
47.56,237.8,96.5,0,0.1,463.3,500,346500,5,15
3.92,19.6,23.75,0,0,318.25,500,67500,5,25
2.77,13.85,18.35,0,0,301.2,500,423000,10,30
3.56,17.8,13.3,0,0,400.55,500,85500,5,10
4.28,21.4,26.3,0,0,315.55,500,423000,5,15
90.61,453.05,230.95,0,0.2,445.45,500,189000,5,15
4.68,23.4,0,137.15,0,500,84.1,175500,5,15
3.46,17.3,0,66.4,0,500,126.05,225000,10,30
4.82,24.1,0,56.5,0,500,196.15,333000,10,30
32.36,161.8,112.85,0,0.05,410.1,500,36000,5,15
116.71,583.55,262.6,0,0.25,455.95,500,175500,5,5
42.37,211.85,4.3,2.9,0.1,499.9,499.95,387000,5,25
2.63,13.15,16.55,0,0,311.05,500,4500,10,35
35.53,177.65,127.8,0,0.1,405.9,500,427500,5,10
3.67,18.35,0,88.2,0,500,101.85,337500,10,30
2.92,14.6,28.45,0,0,228.3,500,117000,5,25
43.49,217.45,47.7,0,0.1,488.4,500,270000,10,35
3.53,17.65,18.2,0,0,348.1,500,423000,5,15
2.52,12.6,24.1,0,0,231.65,500,139500,10,35
82.84,414.2,163.8,0,0.2,464.95,500,171000,5,15
4.86,24.3,30.05,0,0,314.4,500,423000,5,25
4.79,23.95,32.05,0,0,299.3,500,4500,5,10
3.92,19.6,26.1,0,0,300.25,500,45000,5,15
2.7,13.5,25,0,0,237.55,500,63000,5,20
65.09,325.45,200,0,0.15,426,500,216000,5,15
75.46,377.3,145.1,0,0.15,466.7,500,292500,5,10
3.06,15.3,30.8,0,0,222.45,500,67500,5,20
46.12,230.6,122.2,0,0.1,441.8,500,166500,5,20
3.38,16.9,11.5,0.55,0,413.35,499.75,90000,5,15
75.67,378.35,220.7,0,0.15,431.9,500,261000,5,5
40.82,204.1,12.05,3.6,0.1,499.15,499.9,180000,10,30
92.3,461.5,272.15,0,0.2,430.7,500,211500,5,25
5.08,25.4,0,111.25,0,500,111.3,342000,5,15
57.24,286.2,128.7,0,0.15,456,500,202500,5,25
33.05,165.25,3.05,27,0.1,499.9,493.45,364500,5,20
2.95,14.75,16.55,0,0,332.65,500,148500,10,35
2.84,14.2,9.2,1.6,0,419.65,496.85,126000,5,10
2.95,14.75,23.05,0,0,269.5,500,121500,10,35
52.42,262.1,138.8,0,0.1,441.85,500,256500,5,5
3.85,19.25,24.3,0,0,310.5,500,409500,5,20
2.59,12.95,21.4,0,0,258.85,500,90000,5,25
3.17,15.85,29.35,0,0,237.6,500,85500,10,35
63.18,315.9,124.2,0,0.15,465.35,500,364500,5,20
3.56,17.8,0,60.5,0,500,141.15,324000,10,30
4.79,23.95,28.6,0,0,321,500,126000,10,35
3.2,16,30.95,0,0,229.6,500,112500,5,25
3.17,15.85,30.6,0,0,229.95,500,45000,5,25
5.65,28.25,0,107.65,0,500,126.9,220500,5,25
104.65,523.25,275.4,0,0.25,442.45,500,0,5,20
52.16,260.8,85.15,0,0.1,475.3,500,346500,5,10
3.17,15.85,0,82.8,0,500,94,373500,10,35
35.57,177.85,128,0.35,0.1,405.8,500,148500,5,25
67.75,338.75,160.55,0,0.15,451.8,500,252000,5,5
77.65,388.25,47.7,5.4,0.2,496.25,499.95,378000,5,15
2.59,12.95,22.85,0,0,246.55,500,72000,5,10
2.88,14.4,30.05,0,0,216.05,500,58500,5,25
54.22,271.1,119.9,0,0.1,457.25,500,292500,5,5
50.4,252,127.45,0,0.1,446.2,500,261000,5,10
2.92,14.6,23.4,0,0,264.65,500,409500,10,35
2.88,14.4,0,58.15,0,500,120.2,189000,5,5
4.43,22.15,0,84.6,0,500,126.65,387000,10,30
26.42,132.1,0,63.35,0.05,500,450.85,292500,5,25
3.35,16.75,27.7,0,0,258.7,500,40500,5,25
84.96,424.8,160.55,0,0.2,467.7,500,337500,5,25
2.88,14.4,0,72.55,0,500,97.35,180000,10,35
94.54,472.7,208.25,0,0.2,457.55,500,211500,5,5
2.81,14.05,24.5,0,0,248.75,500,9000,5,15
56.77,283.85,178.55,0,0.15,423.25,500,256500,5,5
60.05,300.25,173.5,0,0.15,432.9,500,207000,5,10
49.82,249.1,68.2,0,0.1,482.25,500,364500,5,15
3.1,15.5,28.1,0,0,241.5,500,418500,5,25
3.64,18.2,18,0,0,355.5,500,409500,5,20
3.2,16,24.5,0,0,273.4,500,85500,10,30
3.78,18.9,12.95,2.15,0,412.45,496.8,0,5,5
2.63,13.15,22.5,0,0,252.3,500,90000,10,35
2.84,14.2,31.85,0,0,203.6,500,112500,10,30
2.95,14.75,23.05,0,0,269.5,500,103500,10,35
3.71,18.55,0,109.8,0,500,83.3,382500,5,20
17.71,88.55,27.55,97.55,0.05,477.45,336.05,220500,5,10
2.99,14.95,19.25,0,0,306.7,500,85500,5,25
3.89,19.45,23.2,0,0,321.25,500,72000,5,10
71.6,358,221.4,0,0.15,425.25,500,207000,5,20
62.17,310.85,170.3,0,0.15,438.5,500,243000,5,15
17.39,86.95,0,68.05,0.05,500,393.75,238500,10,30
95.94,479.7,208.25,0,0.2,458.65,500,216000,5,10
3.67,18.35,32.05,0,0,248.45,500,414000,5,5
11.3,56.5,0,116.65,0.05,500,217.95,234000,5,15
54.83,274.15,62.45,1.1,0.15,487.5,500,162000,5,25
3.67,18.35,20.7,0,0,331.7,500,67500,5,10
3.46,17.3,18,0,0,346.45,500,85500,5,25
3.96,19.8,0,130.5,0,500,75,387000,5,5
122.11,610.55,219.6,0,0.3,470.5,500,261000,5,20
61.02,305.1,157.3,0,0.15,444.4,500,261000,5,20
3.74,18.7,0,130.85,0,500,70.75,364500,5,25
2.63,13.15,21.25,0,0,263.1,500,418500,5,25
3.35,16.75,28.45,0,0,253.7,500,36000,10,30
69.8,349,236.35,0,0.15,414,500,297000,5,25
33.84,169.2,9,7.75,0.1,499.3,499.5,270000,10,30
3.96,19.8,36.35,0,0,239.15,500,418500,5,10
26.32,131.6,0,47.35,0.05,500,470.45,342000,5,25
122.69,613.45,277.4,0,0.3,455.6,500,180000,5,25
54.72,273.6,214.75,0,0.15,393.3,500,148500,5,15
5,25,0,86.75,0,500,138.45,396000,5,15
90.36,451.8,251.65,0,0.2,436.8,500,337500,5,25
2.74,13.7,26.1,0,0,232.4,500,117000,5,25
3.6,18,0,56.35,0,500,152.15,225000,10,30
93.02,465.1,249.5,0,0.2,440.6,500,171000,5,10
2.84,14.2,23.75,0,0,256.6,500,72000,5,25
3.56,17.8,23.4,0,0,302.7,500,13500,10,30
6.48,32.4,0,104.95,0,500,147.5,229500,5,20
43.02,215.1,80.1,0,0.1,468.55,500,310500,5,25
45.25,226.25,138.05,0,0.1,426.8,500,360000,5,15
63.83,319.15,225.7,0,0.15,408.25,500,202500,5,10
104.8,524,295.2,0,0.25,435.65,500,202500,5,20
3.49,17.45,0,35.3,0,500,221.55,207000,10,30
69.91,349.55,203.05,0,0.15,432.35,500,207000,5,10
3.31,16.55,18.7,0,0,331.35,500,63000,5,5
3.02,15.1,22.7,0,0,276.95,500,72000,5,20
3.89,19.45,15.5,0.9,0,391,499.45,27000,5,25
19.15,95.75,102.6,0,0.05,341.15,500,148500,10,35
2.99,14.95,26.1,0,0,248.5,500,94500,5,25
81.83,409.15,202.3,0,0.2,448.2,500,4500,5,10
3.67,18.35,0,111.8,0,500,81,319500,10,30
3.71,18.55,30.25,0,0,261.4,500,117000,5,10
6.73,33.65,0,127.8,0,500,127.3,229500,5,15
44.5,222.5,182.15,0,0.1,386.9,500,405000,5,5
3.56,17.8,0,42.5,0,500,193.15,220500,10,30
36.76,183.8,104.05,0,0.1,435.1,500,328500,10,30
2.66,13.3,0,59.95,0,500,108.3,306000,5,15
3.82,19.1,0,105.85,0,500,88.8,391500,5,25
40.14,200.7,140.75,0,0.1,409.35,500,0,5,25
3.6,18,0,112.85,0,500,78.75,396000,10,35
4.75,23.75,32.75,0,0,293.55,500,72000,5,10
5.9,29.5,0,126.7,0,500,113.4,225000,5,20
3.56,17.8,35.45,0,0,224.35,500,9000,10,30
62.42,312.1,160.4,0,0.15,444.7,500,310500,5,10
3.06,15.3,28.8,0,0,234.6,500,135000,10,35
2.59,12.95,28.1,0,0,209.25,500,4500,5,5
64.08,320.4,133.75,0,0.15,461.4,500,247500,5,25
49.46,247.3,131.6,0,0.1,441.4,500,256500,5,15
59.65,298.25,135,0,0.15,455.5,500,193500,5,5
3.02,15.1,8.65,2.35,0,433.85,494.05,112500,5,15
2.95,14.75,10.8,11.15,0,403.4,398.85,157500,10,35
44.6,223,171,0,0.1,396.75,500,333000,5,20
3.24,16.2,22.5,0,0,292.15,500,144000,5,10
85.18,425.9,230.75,0,0.2,439.6,500,297000,5,5
69.66,348.3,143.1,0,0.15,462.5,500,184500,5,10
2.81,14.05,20.5,0,0,282.65,500,157500,5,10
32.94,164.7,48.05,0,0.1,480,500,342000,5,10
3.06,15.3,9.55,1.6,0,424.15,497.3,121500,5,25
79.27,396.35,170.8,0,0.2,459.2,500,261000,5,15
45.65,228.25,239.2,0,0.1,345.2,500,153000,5,25
2.74,13.7,24.5,0,0,244.05,500,427500,10,30
37.84,189.2,138.05,0,0.1,403.9,500,9000,5,15
2.63,13.15,25.4,0,0,229.9,500,67500,5,5
130.21,651.05,279.7,0,0.3,459.4,500,180000,5,5
25.67,128.35,1.45,14.75,0.05,499.95,496.75,360000,5,5
3.82,19.1,0,81.7,0,500,113.8,396000,5,10
30.82,154.1,0.55,39.4,0.05,500,484.4,319500,5,5
54.72,273.6,79.75,0,0.15,480,500,279000,5,25
26.06,130.3,4.3,7.2,0.05,499.75,499.25,310500,10,30
54.65,273.25,93.8,0,0.15,472.9,500,270000,5,10
49.21,246.05,67.15,0,0.1,482.35,500,369000,5,10
68.69,343.45,169.4,0,0.15,448.4,500,198000,5,20
48.96,244.8,100.6,0,0.1,462.45,500,283500,5,20
21.56,107.8,30.4,63.55,0.05,481.25,430.75,220500,10,30
2.88,14.4,0,24.5,0,500,253.35,418500,10,35
3.46,17.3,0,83.15,0,500,101.85,319500,10,30
2.77,13.85,25.4,0,0,239.35,500,49500,5,20
3.96,19.8,28.8,0,0,283.25,500,423000,5,15
3.42,17.1,0,69.5,0,500,119.45,247500,5,10
2.88,14.4,22.7,0,0,267.85,500,427500,5,15
122.04,610.2,257.2,0,0.3,460.75,500,315000,5,20
3.06,15.3,0,63.9,0,500,116.45,220500,10,35
44.5,222.5,77.05,0,0.1,472.45,500,279000,5,20
53.96,269.8,98.65,0,0.1,469.6,500,193500,5,10
2.74,13.7,23.95,0,0,248.25,500,148500,10,35
4.79,23.95,0,103.15,0,500,113.1,337500,10,30
3.1,15.5,0,69.65,0,500,108.6,373500,10,35
112.39,561.95,248.2,0,0.25,457.35,500,166500,5,5
95.65,478.25,169.75,0,0.2,471.2,500,175500,5,15
51.98,259.9,132.65,0,0.1,445.35,500,180000,5,25
49.75,248.75,88.2,0,0.1,471.25,500,243000,5,15
4,20,33.1,0,0,258.6,500,144000,5,5
6.26,31.3,0,33.85,0,500,339.45,202500,10,30
3.13,15.65,27.2,0,0,249.35,500,427500,5,25
18.18,90.9,3.25,40.5,0.05,499.7,456.7,238500,5,25
54.79,273.95,98.65,0,0.15,470.45,500,180000,5,5
2.88,14.4,0,57.8,0,500,120.85,193500,10,35
3.89,19.45,0,88.4,0,500,107.45,310500,10,30
81.72,408.6,209.5,0,0.2,444.95,500,333000,5,5
3.74,18.7,25.2,0,0,297.95,500,414000,5,5
73.51,367.55,196.9,0,0.15,440.75,500,306000,5,15
92.99,464.95,254.15,0,0.2,438.75,500,405000,5,10
3.56,17.8,0,81.9,0,500,106.2,234000,10,30
4.68,23.4,25.55,0,0,337.7,500,153000,10,35
40,200,72.35,21.05,0.1,470.2,497.25,238500,5,10
64.62,323.1,46.8,11.5,0.15,494.85,499.7,274500,10,30
55.91,279.55,178,0,0.15,421.75,500,333000,5,25
4.5,22.5,0,66.95,0,500,159.3,229500,10,30
55.44,277.2,102.05,0,0.15,469.2,500,315000,5,25
3.71,18.55,36.7,0,0,225.55,500,49500,5,15
39.92,199.6,66.8,0,0.1,474.15,500,256500,10,30
2.92,14.6,22.85,0,0,269.2,500,76500,5,25
2.7,13.5,26.1,0,0,229.7,500,13500,5,10
5.29,26.45,0,130.15,0,500,99.6,225000,5,5
3.64,18.2,17.1,0,0,364.4,500,130500,5,15
3.1,15.5,30.05,0,0,229.2,500,90000,5,20
4.1,20.5,14.4,1.6,0,409.15,498.5,4500,5,20
3.06,15.3,0,83.35,0,500,90.25,369000,10,35
47.7,238.5,131.75,0,0.1,437.65,500,337500,5,20
63.97,319.85,161.65,0,0.15,446.25,500,247500,5,25
29.27,146.35,10.1,6.3,0.05,498.8,499.55,378000,5,25
56.99,284.95,155,0,0.15,439.2,500,252000,5,20
5,25,0,131.95,0,500,93.1,355500,5,25
3.1,15.5,18.55,0,0,320.6,500,45000,10,35
29.77,148.85,123.5,0,0.05,384.8,500,31500,5,20
69.44,347.2,180.55,0,0.15,443.6,500,306000,5,15
3.06,15.3,28.6,0,0,235.85,500,63000,5,25
64.33,321.65,157.7,0,0.15,448.95,500,306000,5,5
3.13,15.65,14.95,0,0,361.55,500,90000,10,35
3.31,16.55,0,86.75,0,500,93.7,360000,10,35
48.38,241.9,100.45,0,0.1,461.75,500,274500,5,10
3.42,17.1,16,0,0,365.1,500,72000,10,35
119.2,596,290.5,0,0.25,449.45,500,310500,5,5
37.87,189.35,117.55,0,0.1,424.8,500,202500,5,20
2.81,14.05,27.7,0,0,226.2,500,81000,5,5
3.42,17.1,18,0,0,344.35,500,63000,5,25
4.86,24.3,24.3,0,0,353.55,500,126000,5,20
66.2,331,146.9,0,0.15,457,500,247500,5,15
4.21,21.05,19.1,0,0,370.3,500,36000,5,10
3.53,17.65,23.95,0,0,296.65,500,103500,5,20
109.48,547.4,157.7,0,0.25,480.45,500,288000,5,5
3.6,18,25.4,0,0,289.1,500,414000,5,10
3.78,18.9,0,109.8,0,500,84.8,396000,5,10
4.36,21.8,24.85,0,0,329.75,500,45000,5,25
4.21,21.05,36.35,0,0,250.55,500,139500,5,5
2.74,13.7,17.8,0,0,304.95,500,4500,10,35
30.74,153.7,22.85,3.4,0.05,494.55,499.9,324000,5,20
59.33,296.65,66.05,0,0.15,488.05,500,180000,5,20
62.28,311.4,133,0,0.15,459.8,500,292500,5,20
41.18,205.9,90.2,0,0.1,458,500,180000,5,25
44.68,223.4,104.4,17.8,0.1,453,498.4,238500,5,10
3.67,18.35,18,0,0,356.95,500,22500,5,20
2.84,14.2,0,54.2,0,500,126.7,297000,10,30
52.6,263,164.7,0,0.1,423.75,500,337500,5,5
6.95,34.75,36.2,0,0,346.25,500,153000,10,30
26.21,131.05,27.9,4.15,0.05,489.05,499.75,328500,5,25
30.96,154.8,0,28.45,0.05,500,491.75,319500,5,15
54,270,194.6,0,0.1,405.6,500,211500,5,20
90.07,450.35,199.45,0,0.2,457.15,500,360000,5,25
4.03,20.15,37.45,0,0,236.9,500,135000,5,25
2.7,13.5,21.6,0,0,265,500,418500,5,25
4.25,21.25,0,87.3,0,500,118.25,387000,5,25
3.13,15.65,0,85.7,0,500,89.8,225000,10,35
3.89,19.45,13.85,1.8,0,407.3,497.85,13500,10,30
